ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source,audited_announcement_ts,audit_status,audit_score,audit_hits,audit_form,audit_accession,audit_document_url
MBCN,0000836147,Middlefield Banc Corp,,ACQUISITION,2026-02-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FMNB,Farmers National Banc Corp,2026-02-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-10 16:02:35+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0001193125-26-044618,https://www.sec.gov/Archives/edgar/data/836147/000119312526044618/d281965d8k.htm
RNAM,0001599901,Avidity Biosciences Inc,,ACQUISITION,2026-02-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NVS,Novartis Ag,2026-02-26 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-03 22:29:30+00:00,sec_candidate,3.0,acquirer_name,8-K,0001193125-26-035914,https://www.sec.gov/Archives/edgar/data/1599901/000119312526035914/d11973d8k.htm
AHL,0001267395,Aspen Insurance Holdings Ltd.,,ACQUISITION,2026-02-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SMPNY,Sompo Holdings Inc,2026-02-23 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,,no_candidate_filings_in_window,,,,,
MGIC,0000876779,Magic Software Enterprises Ltd.,,ACQUISITION,2026-02-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Matrix It Ltd.,2026-02-23 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,,no_candidate_filings,,,,,
MOFG,0001412665,Midwestone Financial Group Inc,,ACQUISITION,2026-02-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NIC,Nicolet Bankshares Inc,2026-02-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-22 11:01:50+00:00,sec_candidate,5.0,merger\s+agreement|acquirer_name,8-K,0001412665-25-000165,https://www.sec.gov/Archives/edgar/data/1412665/000141266525000165/mofg-20251222.htm
SNCR,0001131554,Synchronoss Technologies Inc,,ACQUISITION,2026-02-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Lumine Group Inc,2026-02-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-04 09:05:47+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001628280-25-055229,https://www.sec.gov/Archives/edgar/data/1131554/000162828025055229/sncr-20251203.htm
ZEUS,0000917470,Olympic Steel Inc,,ACQUISITION,2026-02-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,RYZ,Ryerson Holding Corp,2026-02-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-10-30 20:30:19+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001437749-25-032436,https://www.sec.gov/Archives/edgar/data/917470/000143774925032436/zeus20251029_8k.htm
SOHO,0001301236,Sotherly Hotels Inc,,ACQUISITION,2026-02-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Kemmons Wilson Hospitality Partners Lp,2026-02-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-18 13:53:26+00:00,sec_candidate,15.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|change\s+of\s+control|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-056144,https://www.sec.gov/Archives/edgar/data/1301236/000119312526056144/d107217d8k.htm
AVDL,0001012477,Avadel Pharmaceuticals PLC,,ACQUISITION,2026-02-11,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ALKS,Alkermes PLC,2026-02-11 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-12 16:09:02+00:00,sec_candidate,3.0,acquirer_name,8-K,0001104659-26-002870,https://www.sec.gov/Archives/edgar/data/1012477/000110465926002870/tm262904d1_8k.htm
CYBR,0001598110,Cyberark Software Ltd.,,ACQUISITION,2026-02-10,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,PANW,Palo Alto Networks Inc,2026-02-10 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-08-19 12:30:35+00:00,sec_candidate,4.0,acquirer_name|acquirer_symbol,425,0001193125-25-183084,https://www.sec.gov/Archives/edgar/data/1598110/000119312525183084/d45869d425.htm
