ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source
TBRG,0001169445,Trubridge Inc,,ACQUISITION,2026-07-08,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Iks Health,2026-07-08 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
OLPX,0001868726,Olaplex Holdings Inc,,ACQUISITION,2026-07-07,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,HENKY,Henkel Ag & Co Kgaa,2026-07-07 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
BLD,0001633931,Topbuild Corp,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,QXO,Qxo Inc,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
STEL,0001473844,Stellar Bancorp Inc,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,PB,Prosperity Bancshares Inc,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
JHG,0001274173,Janus Henderson Group PLC,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Trian Fund Management Lp,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
SEM,0001320414,Select Medical Holdings Corp,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Welsh Carson Anderson & Stowe,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
SILA,0001567925,Sila Realty Trust Inc,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,OWL,Blue Owl Capital Inc,2026-06-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
PRA,0001127703,Proassurance Corp,,ACQUISITION,2026-06-25,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,The Doctors Company,2026-06-25 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CWAN,0001866368,Clearwater Analytics Holdings Inc,,ACQUISITION,2026-06-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Permira Holdings Ltd.,2026-06-24 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CNTA,0001847903,Centessa Pharmaceuticals PLC,,ACQUISITION,2026-06-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,LLY,Eli Lilly & Co.,2026-06-23 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
ASRT,0001005201,Assertio Holdings Inc,,ACQUISITION,2026-06-16,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Zydus Lifesciences Ltd.,2026-06-16 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
KW,0001408100,Kennedy-wilson Holdings Inc,,ACQUISITION,2026-06-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,FRFHF,Fairfax Financial Holdings Ltd.,2026-06-15 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
KALV,0001348911,Kalvista Pharmaceuticals Inc,,ACQUISITION,2026-06-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Chiesi Farmaceutici SpA,2026-06-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
MASI,0000937556,Masimo Corp,,ACQUISITION,2026-06-09,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,DHR,Danaher Corp,2026-06-09 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
FONR,0000355019,Fonar Corp,,ACQUISITION,2026-06-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Damadian Raymond V,2026-06-03 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
FFIC,0000923139,Flushing Financial Corp,,ACQUISITION,2026-06-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,OCFC,Oceanfirst Financial Corp,2026-06-01 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
NVRI,0002104052,Enviri Corp,NYSE,ACQUISITION,2026-05-29,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,VEOEY,Veolia Environnement,2026-05-29 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
THR,0001489096,Thermon Group Holdings Inc,,ACQUISITION,2026-05-29,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CECO,Ceco Environmental Corp,2026-05-29 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
AMWD,0000794619,American Woodmark Corp,,ACQUISITION,2026-05-28,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,MBC,Masterbrand Inc,2026-05-28 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CVGW,0001133470,Calavo Growers Inc,,ACQUISITION,2026-05-28,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,AVO,Mission Produce Inc,2026-05-28 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
VRE,0000924901,Veris Residential Inc,,ACQUISITION,2026-05-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Vista Hill Investments LLC,2026-05-26 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
MCW,0001853513,Mister Car Wash Inc,,ACQUISITION,2026-05-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Leonard Green & Partners Lp,2026-05-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
SLNO,0001484565,Soleno Therapeutics Inc,,ACQUISITION,2026-05-18,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NBIX,Neurocrine Biosciences Inc,2026-05-18 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
APLS,0001492422,Apellis Pharmaceuticals Inc,,ACQUISITION,2026-05-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BIIB,Biogen Inc,2026-05-15 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
FORA,0001829280,Forian Inc,,ACQUISITION,2026-05-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,2025 Acquisition Company LLC,2026-05-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
MPX,0001129155,Marine Products Corp,,ACQUISITION,2026-05-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,MCFT,Mastercraft Boat Holdings Inc,2026-05-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
EHAB,0001803737,Enhabit Inc,,ACQUISITION,2026-05-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Kinderhook Industries LLC,2026-05-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
TPH,0001561680,Tri Pointe Homes Inc,,ACQUISITION,2026-05-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SMFRF,Sumitomo Forestry Co Ltd.,2026-05-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CSGS,0001005757,Csg Systems International Inc,,ACQUISITION,2026-05-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NECPY,Nec Corp,2026-05-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
SNCY,0001743907,Sun Country Airlines Holdings Inc,,ACQUISITION,2026-05-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ALGT,Allegiant Travel Co.,2026-05-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
KZR,0001645666,Kezar Life Sciences Inc,,ACQUISITION,2026-05-11,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,AUPH,Aurinia Pharmaceuticals Inc,2026-05-11 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
UDMY,0001607939,Udemy Inc,,ACQUISITION,2026-05-11,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,COUR,Coursera Inc,2026-05-11 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
EWCZ,0001856236,European Wax Center Inc,,ACQUISITION,2026-05-08,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,General Atlantic,2026-05-08 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CTLP,0000896429,Cantaloupe Inc,,ACQUISITION,2026-05-07,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,365 Retail Markets LLC,2026-05-07 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CTRA,0000858470,Coterra Energy Inc,,ACQUISITION,2026-05-06,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,DVN,Devon Energy Corp,2026-05-06 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
PKST,0001600626,Peakstone Realty Trust,,ACQUISITION,2026-05-05,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BAM,Brookfield Asset Management Ltd.,2026-05-05 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
