symbol,cik,company_name,exchange,event_type,event_date,label_quality,source_url,cik_source,acquirer,acquirer_name,dataset_role
FFIC,0000923139,Flushing Financial Corp,,ACQUISITION,2026-06-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,OCFC,Oceanfirst Financial Corp,ACQUISITION
NVRI,0002104052,Enviri Corp,NYSE,ACQUISITION,2026-05-29,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,VEOEY,Veolia Environnement,ACQUISITION
THR,0001489096,Thermon Group Holdings Inc,,ACQUISITION,2026-05-29,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CECO,Ceco Environmental Corp,ACQUISITION
AMWD,0000794619,American Woodmark Corp,,ACQUISITION,2026-05-28,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,MBC,Masterbrand Inc,ACQUISITION
CVGW,0001133470,Calavo Growers Inc,,ACQUISITION,2026-05-28,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,AVO,Mission Produce Inc,ACQUISITION
VRE,0000924901,Veris Residential Inc,,ACQUISITION,2026-05-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Affinius Capital,ACQUISITION
MCW,0001853513,Mister Car Wash Inc,,ACQUISITION,2026-05-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Leonard Green & Partners Lp,ACQUISITION
SLNO,0001484565,Soleno Therapeutics Inc,,ACQUISITION,2026-05-18,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NBIX,Neurocrine Biosciences Inc,ACQUISITION
APLS,0001492422,Apellis Pharmaceuticals Inc,,ACQUISITION,2026-05-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BIIB,Biogen Inc,ACQUISITION
EHAB,0001803737,Enhabit Inc,,ACQUISITION,2026-05-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Kinderhook Industries LLC,ACQUISITION
